period,number,color,date_folder
20250420100051929,8,red,20-04-2025
20250420100051928,9,green,20-04-2025
20250420100051927,8,red,20-04-2025
20250420100051926,8,red,20-04-2025
20250420100051925,3,green,20-04-2025
20250420100051924,2,red,20-04-2025
20250420100051923,9,green,20-04-2025
20250420100051922,3,green,20-04-2025
20250420100051921,0,red / violet,20-04-2025
20250420100051920,9,green,20-04-2025
20250420100051919,9,green,20-04-2025
20250420100051918,3,green,20-04-2025
20250420100051917,3,green,20-04-2025
20250420100051916,9,green,20-04-2025
20250420100051915,5,green / violet,20-04-2025
20250420100051914,4,red,20-04-2025
20250420100051913,8,red,20-04-2025
20250420100051912,7,green,20-04-2025
20250420100051911,1,green,20-04-2025
20250420100051910,7,green,20-04-2025
20250420100051909,6,red,20-04-2025
20250420100051908,8,red,20-04-2025
20250420100051907,7,green,20-04-2025
20250420100051906,6,red,20-04-2025
20250420100051905,4,red,20-04-2025
20250420100051904,9,green,20-04-2025
20250420100051903,5,green / violet,20-04-2025
20250420100051902,8,red,20-04-2025
20250420100051901,0,red / violet,20-04-2025
20250420100051900,6,red,20-04-2025
20250420100051899,9,green,20-04-2025
20250420100051898,8,red,20-04-2025
20250420100051897,2,red,20-04-2025
20250420100051896,5,green / violet,20-04-2025
20250420100051895,1,green,20-04-2025
20250420100051894,3,green,20-04-2025
20250420100051893,6,red,20-04-2025
20250420100051892,5,green / violet,20-04-2025
20250420100051891,2,red,20-04-2025
20250420100051890,6,red,20-04-2025
20250420100051889,3,green,20-04-2025
20250420100051888,3,green,20-04-2025
20250420100051887,5,green / violet,20-04-2025
20250420100051886,7,green,20-04-2025
20250420100051885,6,red,20-04-2025
20250420100051884,1,green,20-04-2025
20250420100051883,2,red,20-04-2025
20250420100051882,4,red,20-04-2025
20250420100051881,7,green,20-04-2025
20250420100051880,0,red / violet,20-04-2025
20250420100051879,8,red,20-04-2025
20250420100051878,9,green,20-04-2025
20250420100051877,8,red,20-04-2025
20250420100051876,0,red / violet,20-04-2025
20250420100051875,9,green,20-04-2025
20250420100051874,3,green,20-04-2025
20250420100051873,3,green,20-04-2025
20250420100051872,7,green,20-04-2025
20250420100051871,1,green,20-04-2025
20250420100051870,5,green / violet,20-04-2025
20250420100051869,2,red,20-04-2025
20250420100051868,2,red,20-04-2025
20250420100051867,6,red,20-04-2025
20250420100051866,3,green,20-04-2025
20250420100051865,8,red,20-04-2025
20250420100051864,4,red,20-04-2025
20250420100051863,6,red,20-04-2025
20250420100051862,8,red,20-04-2025
20250420100051861,0,red / violet,20-04-2025
20250420100051860,7,green,20-04-2025
20250420100051859,7,green,20-04-2025
20250420100051858,6,red,20-04-2025
20250420100051857,3,green,20-04-2025
20250420100051856,4,red,20-04-2025
20250420100051855,2,red,20-04-2025
20250420100051854,3,green,20-04-2025
20250420100051853,4,red,20-04-2025
20250420100051852,3,green,20-04-2025
20250420100051851,7,green,20-04-2025
20250420100051850,2,red,20-04-2025
20250420100051849,1,green,20-04-2025
20250420100051848,8,red,20-04-2025
20250420100051847,4,red,20-04-2025
20250420100051846,2,red,20-04-2025
20250420100051845,8,red,20-04-2025
20250420100051844,2,red,20-04-2025
20250420100051843,0,red / violet,20-04-2025
20250420100051842,1,green,20-04-2025
20250420100051841,3,green,20-04-2025
20250420100051840,8,red,20-04-2025
20250420100051839,3,green,20-04-2025
20250420100051838,2,red,20-04-2025
20250420100051837,0,red / violet,20-04-2025
20250420100051836,5,green / violet,20-04-2025
20250420100051835,5,green / violet,20-04-2025
20250420100051834,1,green,20-04-2025
20250420100051833,7,green,20-04-2025
20250420100051832,2,red,20-04-2025
20250420100051831,4,red,20-04-2025
20250420100051830,2,red,20-04-2025
20250420100051829,0,red / violet,20-04-2025
20250420100051828,6,red,20-04-2025
20250420100051827,3,green,20-04-2025
20250420100051826,0,red / violet,20-04-2025
20250420100051825,2,red,20-04-2025
20250420100051824,6,red,20-04-2025
20250420100051823,9,green,20-04-2025
20250420100051822,4,red,20-04-2025
20250420100051821,0,red / violet,20-04-2025
20250420100051820,2,red,20-04-2025
20250420100051819,1,green,20-04-2025
20250420100051818,7,green,20-04-2025
20250420100051817,4,red,20-04-2025
20250420100051816,8,red,20-04-2025
20250420100051815,0,red / violet,20-04-2025
20250420100051814,1,green,20-04-2025
20250420100051813,2,red,20-04-2025
20250420100051812,0,red / violet,20-04-2025
20250420100051811,0,red / violet,20-04-2025
20250420100051810,7,green,20-04-2025
20250420100051809,1,green,20-04-2025
20250420100051808,8,red,20-04-2025
20250420100051807,6,red,20-04-2025
20250420100051806,6,red,20-04-2025
20250420100051805,5,green / violet,20-04-2025
20250420100051804,8,red,20-04-2025
20250420100051803,3,green,20-04-2025
20250420100051802,0,red / violet,20-04-2025
20250420100051801,6,red,20-04-2025
20250420100051800,6,red,20-04-2025
20250420100051799,8,red,20-04-2025
20250420100051798,6,red,20-04-2025
20250420100051797,9,green,20-04-2025
20250420100051796,5,green / violet,20-04-2025
20250420100051795,9,green,20-04-2025
20250420100051794,4,red,20-04-2025
20250420100051793,8,red,20-04-2025
20250420100051792,5,green / violet,20-04-2025
20250420100051791,6,red,20-04-2025
20250420100051790,3,green,20-04-2025
20250420100051789,4,red,20-04-2025
20250420100051788,5,green / violet,20-04-2025
20250420100051787,5,green / violet,20-04-2025
20250420100051786,8,red,20-04-2025
20250420100051785,5,green / violet,20-04-2025
20250420100051784,3,green,20-04-2025
20250420100051783,1,green,20-04-2025
20250420100051782,3,green,20-04-2025
20250420100051781,1,green,20-04-2025
20250420100051780,3,green,20-04-2025
20250420100051779,8,red,20-04-2025
20250420100051778,2,red,20-04-2025
20250420100051777,6,red,20-04-2025
20250420100051776,0,red / violet,20-04-2025
20250420100051775,6,red,20-04-2025
20250420100051774,5,green / violet,20-04-2025
20250420100051773,3,green,20-04-2025
20250420100051772,3,green,20-04-2025
20250420100051771,4,red,20-04-2025
20250420100051770,5,green / violet,20-04-2025
20250420100051769,9,green,20-04-2025
20250420100051768,2,red,20-04-2025
20250420100051767,1,green,20-04-2025
20250420100051766,4,red,20-04-2025
20250420100051765,9,green,20-04-2025
20250420100051764,3,green,20-04-2025
20250420100051763,7,green,20-04-2025
20250420100051762,9,green,20-04-2025
20250420100051761,2,red,20-04-2025
20250420100051760,6,red,20-04-2025
20250420100051759,4,red,20-04-2025
20250420100051758,1,green,20-04-2025
20250420100051757,0,red / violet,20-04-2025
20250420100051756,4,red,20-04-2025
20250420100051755,0,red / violet,20-04-2025
